Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,mpaa_rating,added_to_netflix,flixable_url,totalSeasons
Airplane Mode,2020,N/A,23 Jan 2020,95 min,"Comedy, Romance",César Rodrigues,"Alice Name Bomtempo, Alberto Bremer (original script), Alberto Bremer (story by), Jonathan Davis (story by), Renato Fagundes","Larissa Manoela, Erasmo Carlos, Dani Ornellas, Katiuscia Canoro","Follows the young Ana, who studied fashion design dreaming of becoming a great stylist but dropped everything to become a digital influencer for a famous brand.",N/A,Brazil,N/A,https://m.media-amazon.com/images/M/MV5BNTNjNzc0MzQtMWEzZi00YzRjLTkzMDctMGQxMGY0MWE1M2IyXkEyXkFqcGdeQXVyMTk2NDE3Mzc@._V1_SX300.jpg,[],N/A,N/A,N/A,tt10731748,movie,N/A,N/A,N/A,N/A,True,TV-PG,"January 23, 2020",http://www.flixable.com/title/81056195/,
Alex Fernández: The Best Comedian in the World,2020,N/A,28 Jan 2020,51 min,Comedy,Alex Diaz,N/A,Alex Fernández,N/A,Spanish,Mexico,N/A,N/A,[],N/A,N/A,N/A,tt11497900,movie,N/A,N/A,N/A,N/A,True,TV-MA,"January 23, 2020",http://www.flixable.com/title/81121981/,
October Faction,2020,,,,,,,,,,,,,,,,,,,,,,,,TV-MA,"January 23, 2020",http://www.flixable.com/title/80221644/,
​SAINT SEIYA: Knights of the Zodiac,2020,,,,,,,,,,,,,,,,,,,,,,,,TV-14,"January 23, 2020",http://www.flixable.com/title/80186926/,
Scales: Mermaids Are Real,2017,,,,,,,,,,,,,,,,,,,,,,,,PG,"January 23, 2020",http://www.flixable.com/title/80192779/,
The Ghost Bride,2020,,,,,,,,,,,,,,,,,,,,,,,,TV-14,"January 23, 2020",http://www.flixable.com/title/80241234/,
The Queen,1968,NOT RATED,17 Jun 1968,68 min,Documentary,Frank Simon,N/A,"Jim Dine, Jack Doroshow, Bruce Jay Friedman, Bernard Giquel","Jack is 24, sometimes he's a drag queen named Sabrina. In 1967, as Sabrina, he's the mistress of ceremonies at a national drag queen contest in New York City. The camera goes behind the ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZGMwZjc5MjUtNzE1My00ZjczLWI0YjktZjMwNDQ0NDhiODY4XkEyXkFqcGdeQXVyMTA3NzE5MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}]",N/A,7.5,153,tt0063477,movie,29 Aug 1995,N/A,Kino Lorber,N/A,True,TV-14,"January 23, 2020",http://www.flixable.com/title/81220949/,
Pandemic: How to Prevent an Outbreak,2020,N/A,22 Jan 2020,N/A,Documentary,N/A,N/A,N/A,N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt11497904,series,,,,,True,TV-14,"January 22, 2020",http://www.flixable.com/title/81026143/,N/A
Playing with Fire,2019,PG,08 Nov 2019,96 min,"Comedy, Family",Andy Fickman,"Dan Ewen, Matt Lieberman","John Cena, Keegan-Michael Key, John Leguizamo, Brianna Hildebrand",A crew of rugged firefighters meet their match when attempting to rescue three rambunctious kids.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNTg4YjQyMDAtZWFiYi00OTMzLWJiYTgtMzRiNWMzMTAzMDQ0XkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}, {'Source': 'Metacritic', 'Value': '24/100'}]",24,4.7,"2,557",tt9134216,movie,N/A,N/A,N/A,N/A,True,TV-MA,"January 22, 2020",http://www.flixable.com/title/81069463/,
Whisky,2004,N/A,10 Dec 2004,94 min,"Comedy, Drama","Juan Pablo Rebella, Pablo Stoll","Gonzalo Delgado, Juan Pablo Rebella, Pablo Stoll","Andrés Pazos, Mirella Pascual, Jorge Bolani, José Pedro Bujaruz","When his long-lost brother resurfaces, Jacobo, desperate to prove his life has added up to something, looks to scrounge up a wife. He turns to Marta, an employee at his sock factory, with ...","Spanish, Portuguese, Italian","Uruguay, Argentina, Germany, Spain",22 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BMDUxNTQwMGMtODE5ZS00ZWQ5LTk2MmUtYmRjZDA1MGM5NjNhXkEyXkFqcGdeQXVyNjYzMDA4MTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,7.2,"4,519",tt0331370,movie,21 Mar 2006,N/A,Global Film Initiative,N/A,True,TV-MA,"January 22, 2020",http://www.flixable.com/title/70044999/,
Fortune Feimster: Sweet & Salty,2020,N/A,21 Jan 2020,61 min,Comedy,Krysia Plonka,N/A,Fortune Feimster,N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt11488724,movie,N/A,N/A,N/A,N/A,True,TV-MA,"January 21, 2020",http://www.flixable.com/title/81146199/,
KD (A) Karuppudurai,2019,,,,,,,,,,,,,,,,,,,,,,,,TV-14,"January 21, 2020",http://www.flixable.com/title/81177366/,
Word Party,2020,,,,,,,,,,,,,,,,,,,,,,,,TV-Y,"January 21, 2020",http://www.flixable.com/title/80063705/,
DreamWorks How to Train Your Dragon Legends,2011,,,,,,,,,,,,,,,,,,,,,,,,TV-PG,"January 20, 2020",http://www.flixable.com/title/70242629/,
Family Reunion,2020,,,,,,,,,,,,,,,,,,,,,,,,TV-PG,"January 20, 2020",http://www.flixable.com/title/80234451/,
Motichoor Chaknachoor,2019,N/A,15 Nov 2019,150 min,"Comedy, Romance",Debamitra Biswal,Meghvrat Singh Gurjar,"Vibha Chhibber, Bhumika Dube, Devansh Kumar, Usha Nagar","A hilarious story of a 36-year-old jobless man Pushpender, trying to find a wife and Anita who's also looking for a husband. But there's a catch - Anita wants to settle abroad after marriage.",N/A,India,N/A,https://m.media-amazon.com/images/M/MV5BYjQ3ZjdkOGYtMGJjMy00ODI5LTkwMjAtZTQyZDg4MTYzMTRlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,120,tt9172840,movie,N/A,N/A,N/A,N/A,True,TV-14,"January 20, 2020",http://www.flixable.com/title/81116576/,
WHAT DID JACK DO?,2020,,,,,,,,,,,,,,,,,,,,,,,,TV-14,"January 20, 2020",http://www.flixable.com/title/81226955/,
The Bling Ring,2013,R,21 Jun 2013,90 min,"Biography, Crime, Drama",Sofia Coppola,"Sofia Coppola, Nancy Jo Sales (based on the Vanity Fair article ""The Suspect Wore Louboutins"" by)","Katie Chang, Israel Broussard, Emma Watson, Claire Julien","Inspired by actual events, a group of fame-obsessed teenagers use the internet to track celebrities' whereabouts in order to rob their homes.",English,"USA, UK, France, Germany, Japan",4 wins & 7 nominations.,https://m.media-amazon.com/images/M/MV5BMTQzMTgwMzQxN15BMl5BanBnXkFtZTcwOTcwNTY0OQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,5.6,"78,947",tt2132285,movie,17 Sep 2013,"$5,500,000",A24 Films,N/A,True,R,"January 18, 2020",http://www.flixable.com/title/70271454/,
A Fall from Grace,2020,N/A,17 Jan 2020,120 min,Thriller,Tyler Perry,Tyler Perry,"Tyler Perry, Adrian Pasdar, Cicely Tyson, Mehcad Brooks","Disheartened since her ex-husband's affair, Grace Waters feels restored by a new romance. But when secrets erode her short-lived joy, Grace's vulnerable side turns violent.",N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BNDM2YjliZDUtZWUzYi00ZDY4LWJlMTEtZGZiZDViZjJiMTllXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt11390036,movie,N/A,N/A,N/A,N/A,True,TV-MA,"January 17, 2020",http://www.flixable.com/title/81127902/,
Ares,2020,N/A,17 Jan 2020,N/A,Horror,N/A,"Pieter Kuijpers, Iris Otten, Sander van Meurs","Robin Boissevain, Tobias Kersloot, Jade Olieberg, Lisa Smit",Dutch students in Amsterdam accidentally open a portal to a demonic world from the Dutch Golden Age.,N/A,Netherlands,N/A,https://m.media-amazon.com/images/M/MV5BZjJmMGE5OTktMTkzYy00YmUwLWE5ZTItY2M5ZGNiNWMyYWNlXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,[],N/A,N/A,N/A,tt8404520,series,,,,,True,TV-MA,"January 17, 2020",http://www.flixable.com/title/80995039/,N/A
Hip-Hop Evolution,2020,,,,,,,,,,,,,,,,,,,,,,,,TV-MA,"January 17, 2020",http://www.flixable.com/title/80141782/,
Nailed It! Germany,2020,N/A,17 Jan 2020,N/A,Reality-TV,N/A,N/A,Angelina Kirsch,N/A,German,Germany,N/A,https://m.media-amazon.com/images/M/MV5BYjg1ZjlkNzMtZjg2My00YTBkLTg4YWEtZjcyYjMyOGI3ZGQ5XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '2.7/10'}]",N/A,2.7,9,tt11460744,series,,,,,True,TV-14,"January 17, 2020",http://www.flixable.com/title/81062580/,N/A
Sex Education,2020,,,,,,,,,,,,,,,,,,,,,,,,TV-MA,"January 17, 2020",http://www.flixable.com/title/80197526/,
Tiny House Nation,2019,,,,,,,,,,,,,,,,,,,,,,,,TV-PG,"January 17, 2020",http://www.flixable.com/title/81016914/,
Booba,2019,,,,,,,,,,,,,,,,,,,,,,,,TV-Y,"January 16, 2020",http://www.flixable.com/title/81011059/,
Deadcon,2019,Not Rated,15 Jun 2019,78 min,Horror,Caryn Waechter,Scotty Landes,"Emma Barrett, Kherrington Briggs, Mai Brunelle, Dominic Burgess",The horrors and isolation of being a social media influencer run rampant when a collection of YouTube and Instagram stars soon discover there are things scarier than thousands of teenagers armed with phones asking for selfies.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZTkwYTE1NjktZTQxYy00N2YxLWIzNGMtNjQyZjNkZjVkMWYzXkEyXkFqcGdeQXVyNzk1MzQxODc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '2.8/10'}]",N/A,2.8,126,tt7262990,movie,N/A,N/A,N/A,N/A,True,TV-MA,"January 16, 2020",http://www.flixable.com/title/81147285/,
Get Him to the Greek,2010,R,04 Jun 2010,109 min,"Comedy, Music",Nicholas Stoller,"Nicholas Stoller, Jason Segel (characters)","Russell Brand, Rose Byrne, Tyler McKinney, Zoe Salmon",A record company intern is hired to accompany out-of-control British rock star Aldous Snow to a concert at L.A.'s Greek Theater.,English,USA,14 nominations.,https://m.media-amazon.com/images/M/MV5BMjIyMzQ0MjExNV5BMl5BanBnXkFtZTcwMzkyMzgxMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,6.4,"163,550",tt1226229,movie,28 Sep 2010,"$60,923,325",Universal Pictures,N/A,True,R,"January 16, 2020",http://www.flixable.com/title/70120142/,
Handsome Siblings,2020,N/A,16 Jan 2020,N/A,"Action, Drama, Fantasy, Romance",N/A,N/A,Zheyuan Chen,N/A,Chinese,China,N/A,https://m.media-amazon.com/images/M/MV5BNzUyOTQyNzItMGY3YS00OTg4LWI0MmItYTI3ODdiN2YzYmFjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,7,tt11541444,series,,,,,True,TV-14,"January 16, 2020",http://www.flixable.com/title/80996973/,N/A
Hop,2011,PG,01 Apr 2011,95 min,"Animation, Adventure, Comedy, Family, Fantasy",Tim Hill,"Cinco Paul (screenplay), Ken Daurio (screenplay), Brian Lynch (screenplay), Cinco Paul (story), Ken Daurio (story)","James Marsden, Russell Brand, Kaley Cuoco, Hank Azaria","E.B., the Easter Bunny's teenage son, heads to Hollywood, determined to become a drummer in a rock 'n' roll band. In LA, he's taken in by Fred after the out-of-work slacker hits E.B. with his car.","English, Chinese, Spanish, French, Ukrainian","USA, India, Malaysia, Taiwan, Canada, UK",2 nominations.,https://m.media-amazon.com/images/M/MV5BMTY4MDcxNTkzNV5BMl5BanBnXkFtZTcwMTg2MDY2NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41,5.4,"29,556",tt1411704,movie,23 Mar 2012,"$108,012,170",Universal Pictures,N/A,True,PG,"January 16, 2020",http://www.flixable.com/title/70142824/,
Jezebel,2019,N/A,09 Mar 2019,N/A,Drama,Numa Perrier,Numa Perrier,"Tiffany Tenille, Numa Perrier, Brett Gelman, Stephen Barrington","In the last days of her mother's life, 19 year old Tiffany crashes with five family members in a Las Vegas studio apartment. In order to make ends meet, her older sister, a phone sex ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNzExMjIzNDYtNDdjOC00NDhkLWI1MjktNzQxMzk0OWNjZmE1XkEyXkFqcGdeQXVyODI5NjczNjY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.5,27,tt7103742,movie,N/A,N/A,House of Numa,N/A,True,TV-MA,"January 16, 2020",http://www.flixable.com/title/81235729/,
Legend,2015,R,20 Nov 2015,132 min,"Biography, Crime, Drama, Thriller",Brian Helgeland,"Brian Helgeland, John Pearson (book)","Paul Anderson, Tom Hardy, Christopher Eccleston, Joshua Hill",Identical twin gangsters Ronald and Reginald Kray terrorize London during the 1960s.,English,"UK, France, USA",6 wins & 10 nominations.,https://m.media-amazon.com/images/M/MV5BMDQ4MGY0NWUtY2MxOC00YzI5LTg0OTEtZjNmY2Q2ZmM0MTA1XkEyXkFqcGdeQXVyNTQzOTc3MTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,6.9,"145,181",tt3569230,movie,01 Mar 2016,"$14,146,549",Universal Studios,N/A,True,R,"January 16, 2020",http://www.flixable.com/title/80057599/,
NiNoKuni,2019,,,,,,,,,,,,,,,,,,,,,,,,TV-14,"January 16, 2020",http://www.flixable.com/title/81093113/,
Soul Eater,2008,TV-14,07 Apr 2008,24 min,"Animation, Action, Adventure, Comedy, Fantasy, Horror",N/A,N/A,"Laura Bailey, Chiaki Omigawa, Micah Solusod, Brittney Karbowski","Set in the Shinigami technical school for weapon meisters, the series revolves around 3 duo's. These pairs are a partnership between a weapon meister and a human weapon. Trying to reach a ...","Japanese, English",Japan,N/A,https://m.media-amazon.com/images/M/MV5BNTdiNTJmMzktZmE2MC00OWUxLWE1MjktMTdhN2Q1OWNlODY1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",N/A,7.9,"10,253",tt1214085,series,,,,,True,TV-14,"January 16, 2020",http://www.flixable.com/title/70205024/,1
